nombre_completo,email,telefono,direccion,especialidad,estado
Andrés Torres,andrés.torres@colegio.com,76998716,Calle 37,Música,activo
Valeria Rodríguez,valeria.rodríguez@colegio.com,76333020,Calle 95,Matemáticas,activo
Marco Pérez,marco.pérez@colegio.com,76406100,Calle 9,Lenguaje,activo
Sofía Cruz,sofía.cruz@colegio.com,76975002,Calle 90,Música,activo
Miguel Cruz,miguel.cruz@colegio.com,76357184,Calle 51,Biología,activo
Marco Martínez,marco.martínez@colegio.com,76581900,Calle 20,Cívica,activo
Pedro Torres,pedro.torres@colegio.com,76950964,Calle 58,Geografía,activo
José López,josé.lópez@colegio.com,76505515,Calle 64,Música,activo
Carlos Ramírez,carlos.ramírez@colegio.com,76896506,Calle 26,Química,activo
Carlos Cruz,carlos.cruz@colegio.com,76227436,Calle 25,Química,activo
Camila Torres,camila.torres@colegio.com,76202654,Calle 60,Cívica,activo
Ricardo Sánchez,ricardo.sánchez@colegio.com,76133147,Calle 98,Arte,activo
Valeria Martínez,valeria.martínez@colegio.com,76838313,Calle 98,Lenguaje,activo
Fernando López,fernando.lópez@colegio.com,76581773,Calle 3,Lenguaje,activo
José Ramírez,josé.ramírez@colegio.com,76577724,Calle 39,Historia,activo
Elena Rodríguez,elena.rodríguez@colegio.com,76765638,Calle 89,Química,activo
Carlos Ramírez,carlos.ramírez93@colegio.com,76943762,Calle 26,Matemáticas,activo
Ricardo López,ricardo.lópez@colegio.com,76668705,Calle 12,Cívica,activo
Sofía Sánchez,sofía.sánchez@colegio.com,76658635,Calle 4,Historia,activo
José Cruz,josé.cruz@colegio.com,76960959,Calle 64,Lenguaje,activo
Lucía Sánchez,lucía.sánchez@colegio.com,76638790,Calle 78,Química,activo
María Pérez,maría.pérez@colegio.com,76970365,Calle 31,Educación Física,activo
Pedro Cruz,pedro.cruz@colegio.com,76816188,Calle 28,Geografía,activo
Laura López,laura.lópez@colegio.com,76424011,Calle 85,Historia,activo
Camila Ramírez,camila.ramírez@colegio.com,76160537,Calle 21,Arte,activo
Marco Cruz,marco.cruz@colegio.com,76573074,Calle 54,Historia,activo
Laura Martínez,laura.martínez@colegio.com,76349062,Calle 94,Química,activo
Valeria Rodríguez,valeria.rodríguez34@colegio.com,76670531,Calle 93,Música,activo
Jorge Torres,jorge.torres@colegio.com,76871019,Calle 96,Arte,activo
Fernando Pérez,fernando.pérez@colegio.com,76350732,Calle 35,Geografía,activo
Laura Pérez,laura.pérez@colegio.com,76970762,Calle 84,Química,activo
Luis Fernández,luis.fernández@colegio.com,76909584,Calle 54,Matemáticas,activo
Elena Fernández,elena.fernández@colegio.com,76414804,Calle 58,Tecnología,activo
Elena Martínez,elena.martínez@colegio.com,76736396,Calle 19,Tecnología,activo
Camila Sánchez,camila.sánchez@colegio.com,76756882,Calle 85,Física,activo
Lucía Ramírez,lucía.ramírez@colegio.com,76845293,Calle 20,Física,activo
Andrés Pérez,andrés.pérez@colegio.com,76256179,Calle 33,Cívica,activo
Valeria Fernández,valeria.fernández@colegio.com,76451404,Calle 16,Cívica,activo
Patricia Martínez,patricia.martínez@colegio.com,76724697,Calle 73,Química,activo
Marco Martínez,marco.martínez14@colegio.com,76984946,Calle 49,Historia,activo
Camila Martínez,camila.martínez@colegio.com,76639640,Calle 28,Geografía,activo
Miguel López,miguel.lópez@colegio.com,76192489,Calle 36,Lenguaje,activo
Camila Cruz,camila.cruz@colegio.com,76615822,Calle 93,Arte,activo
Sofía Gómez,sofía.gómez@colegio.com,76376654,Calle 91,Matemáticas,activo
Sofía Sánchez,sofía.sánchez24@colegio.com,76366786,Calle 89,Música,activo
Ana Torres,ana.torres@colegio.com,76201666,Calle 45,Cívica,activo
Camila Cruz,camila.cruz77@colegio.com,76334841,Calle 64,Química,activo
Camila Torres,camila.torres22@colegio.com,76527312,Calle 19,Historia,activo
Camila Cruz,camila.cruz81@colegio.com,76987453,Calle 98,Cívica,activo
Luis López,luis.lópez@colegio.com,76313755,Calle 25,Geografía,activo
