nombre_usuario,password_hash,rol_id,profesor_id,alumno_id
user0@gmail.com,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,3,1.0,
user1@gmail.com,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,5,2.0,
user2@gmail.com,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,6,3.0,
user3@gmail.com,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,2,4.0,
user4@gmail.com,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,2,5.0,
user5,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,3,6.0,
user6,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,4,7.0,
user7,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,3,8.0,
user8,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,4,9.0,
user9,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,2,10.0,
user10,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,4,,1.0
user11,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,2,,2.0
user12,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,4,,3.0
user13,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,3,,4.0
user14,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,4,,5.0
user15,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,4,,6.0
user16,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,6,,7.0
user17,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,5,,8.0
user18,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,3,,9.0
user19,scrypt:32768:8:1$q48sB7niYzcujNx0$e30d638568fac42557f9bf5cefac88d1a90c69840ba5f7c0836f71c21f5adaa754c2cc4462917e167ce546943f568a77b41eb4073dcc97daee9519833236a5af,5,,10.0
